date,state,county,retail,grocery,parks,transit,workplaces,residential,Non_Residential
2020-03-03,Virginia,Arlington County,6.0,5.0,-21.0,4.0,-4.0,1.0,-2.0
2020-03-03,Virginia,Augusta County,25.0,16.0,,71.0,-6.0,1.0,26.5
2020-03-03,Virginia,Bedford County,13.0,8.0,,,-4.0,0.0,5.666666666666667
2020-03-03,Virginia,Bland County,,,,14.0,,,14.0
2020-03-03,Virginia,Botetourt County,12.0,3.0,,-3.0,-6.0,1.0,1.5
2020-03-03,Virginia,Bristol,20.0,9.0,,,-3.0,,8.666666666666666
2020-03-03,Virginia,Brunswick County,7.0,,,-1.0,-3.0,,1.0
2020-03-03,Virginia,Buchanan County,36.0,,,,7.0,,21.5
2020-03-03,Virginia,Buckingham County,12.0,11.0,,,-2.0,,7.0
2020-03-03,Virginia,Buena Vista,,,,,2.0,,2.0
2020-03-03,Virginia,Campbell County,21.0,12.0,,,0.0,-2.0,11.0
2020-03-03,Virginia,Caroline County,11.0,-17.0,,5.0,-10.0,0.0,-2.75
2020-03-03,Virginia,Carroll County,20.0,10.0,,2.0,-6.0,1.0,6.5
2020-03-03,Virginia,Charles City County,,,,,2.0,,2.0
2020-03-03,Virginia,Charlotte County,,24.0,,,-3.0,,10.5
2020-03-03,Virginia,Charlottesville,10.0,11.0,38.0,-27.0,-5.0,0.0,5.4
2020-03-03,Virginia,Chesapeake,21.0,3.0,64.0,20.0,-7.0,1.0,20.2
2020-03-03,Virginia,Chesterfield County,16.0,8.0,49.0,2.0,-6.0,0.0,13.8
2020-03-03,Virginia,Clarke County,47.0,7.0,,,-2.0,,17.333333333333332
2020-03-03,Virginia,Colonial Heights,20.0,10.0,,,-6.0,,8.0
2020-03-03,Virginia,Covington,28.0,,,,,,28.0
2020-03-03,Virginia,Culpeper County,16.0,20.0,,,0.0,0.0,12.0
2020-03-03,Virginia,Cumberland County,,,,,2.0,,2.0
2020-03-03,Virginia,Danville,26.0,24.0,,,-7.0,0.0,14.333333333333334
2020-03-03,Virginia,Dickenson County,,,,,8.0,,8.0
2020-03-03,Virginia,Dinwiddie County,75.0,-19.0,,,0.0,-1.0,18.666666666666668
2020-03-03,Virginia,Emporia,22.0,12.0,,9.0,2.0,,11.25
2020-03-03,Virginia,Essex County,18.0,16.0,,,4.0,,12.666666666666666
2020-03-03,Virginia,Fairfax,9.0,4.0,,,0.0,2.0,4.333333333333333
2020-03-03,Virginia,Fairfax County,8.0,6.0,16.0,-6.0,-5.0,2.0,3.8
2020-03-03,Virginia,Falls Church,10.0,33.0,,,-4.0,,13.0
2020-03-03,Virginia,Fauquier County,17.0,-9.0,,,-11.0,1.0,-1.0
2020-03-03,Virginia,Floyd County,,13.0,,,-7.0,,3.0
2020-03-03,Virginia,Fluvanna County,22.0,19.0,,,2.0,,14.333333333333334
2020-03-03,Virginia,Franklin,32.0,17.0,,14.0,0.0,,15.75
2020-03-03,Virginia,Franklin County,19.0,9.0,,,-8.0,1.0,6.666666666666667
2020-03-03,Virginia,Frederick County,13.0,6.0,,-4.0,-6.0,1.0,2.25
2020-03-03,Virginia,Fredericksburg,17.0,7.0,,4.0,-13.0,-1.0,3.75
2020-03-03,Virginia,Galax,28.0,30.0,,,-15.0,,14.333333333333334
2020-03-03,Virginia,Giles County,21.0,13.0,,,0.0,,11.333333333333334
2020-03-03,Virginia,Gloucester County,18.0,27.0,,,-2.0,0.0,14.333333333333334
2020-03-03,Virginia,Goochland County,18.0,5.0,,,0.0,,7.666666666666667
2020-03-03,Virginia,Grayson County,,,,,3.0,,3.0
2020-03-03,Virginia,Greene County,26.0,7.0,,,-1.0,,10.666666666666666
2020-03-03,Virginia,Greensville County,,,,8.0,0.0,,4.0
