Locality,locality_fips,state_name,state_fips,rural_or_non_rural_flag,pct_no_high_school_diploma_loc,cnt_no_high_school_diploma_loc,pct_high_school_grad_loc,cnt_total_high_school_grad_loc,pct_total_high_school_grad_loc,pct_total_high_school_grad_locality_avg,cnt_high_school_grad_loc,pct_Some_College_Associates_loc,cnt_Some_College_Associates_loc,pct_bachelors_degree_+_loc,cnt_bachelors_degree_+_loc,pct_SOL_pass_rate_2019_loc,pct_SOL_pass_rate_white_loc,pct_SOL_pass_rate_black_loc,pct_SOL_pass_rate_asian_loc,pct_SOL_pass_rate_hispanic_loc,pct_high_school_grad_Caucasian_loc,pct_high_school_grad_Black_loc,pct_high_school_grad_Asian_loc,pct_high_school_grad_Hispanic_loc,pct_bachelors_degree_Caucasian_loc,pct_bachelors_degree_Black_loc,pct_bachelors_degree_Asian_loc,pct_bachelors_degree_Hispanic_loc,pct_poverty_education_no_high_school_loc,pct_poverty_education_high_school_loc,pct_poverty_education_bachelors_or_higher_loc,pct_pursuing_HighEd_All,cnt_pursuing_HighEd_All
Franklin City,51620,Virginia,51,Rural,0.13894357,847,0.309875328,5249,0.86105643,0.897295305,1889,0.37089895,2261,0.180282152,1099,0.696,0.86,0.656,,0.73,0.969,0.781,1,0.589,0.232,0.136,0.63,0.389,0.283,0.187,0.051,0.51,36
Lexington,51678,Virginia,51,Non-Rural,0.050364078,332,0.279126214,6260,0.949635922,0.897295305,1840,0.412773058,2721,0.25773665,1699,0.85,0.908,0.533333333,0.96,0.64,0.912,0.878,1,1,0.5,0.264,0.179,0.648,0.215,0.152,0.238,0,0
Henry,51089,Virginia,51,Rural,0.195487994,8076,0.346388459,33236,0.804512006,0.897295305,14310,0.327193067,13517,0.13093048,5409,0.756,0.798,0.68,0.935,0.722,0.82,0.748,0.915,0.689,0.158,0.095,0.159,0.028,0.238,0.171,0.044,0.72,332
King William,51101,Virginia,51,Non-Rural,0.094253408,1217,0.333178439,11695,0.905746592,0.897295305,4302,0.375232342,4845,0.197335812,2548,0.828742902,0.852574874,0.706667445,0.076623882,0.782257876,0.969,0.719,0.662,1,0.208,0.185,0.591,0.274,0.12,0.073,0.047,0.543778802,118
Louisa,51109,Virginia,51,Non-Rural,0.150291032,4312,0.336481824,24379,0.849708968,0.897295305,9654,0.285002266,8177,0.228224879,6548,0.818,0.85,0.704,0.89,0.812,0.875,0.755,0.797,0.789,0.264,0.134,0.378,0.229,0.188,0.131,0.029,0.55,167
Prince Edward,51147,Virginia,51,Rural,0.108699047,2088,0.316570358,17121,0.891300953,0.897295305,6081,0.374251653,7189,0.200478942,3851,0.604,0.722,0.51,0.83,0.5925,0.927,0.76,0.612,0.757,0.329,0.167,0.478,0.145,0.301,0.173,0.052,0.55,74
Rockingham,51165,Virginia,51,Non-Rural,0.152667478,9535,0.356811195,52921,0.847332522,0.897295305,22285,0.249471628,15581,0.241049699,15055,0.77,0.792,0.584,0.858,0.66,0.852,0.853,0.912,0.608,0.272,0.165,0.541,0.096,0.168,0.081,0.023,0.62,529
James City,51095,Virginia,51,Non-Rural,0.054590737,3266,0.191819747,56561,0.945409263,0.897295305,11476,0.283066174,16935,0.470523342,28150,0.845945827,0.913530815,0.685499292,0.889991704,0.757497399,0.971,0.863,0.958,0.83,0.553,0.253,0.596,0.297,0.215,0.103,0.028,0.715447154,616
Russell,51167,Virginia,51,Rural,0.189981785,4172,0.384471767,17788,0.810018215,0.897295305,8443,0.307468124,6752,0.118078324,2593,0.848,0.85,0.685,,0.95,0.806,0.907,0,0.477,0.124,0.069,0,0.065,0.327,0.248,0.076,0.68,176
Smyth,51173,Virginia,51,Rural,0.162638693,4031,0.382771838,20754,0.837361307,0.897295305,9487,0.317692153,7874,0.136897317,3393,0.782,0.788,0.6275,0.86,0.8,0.836,0.806,0.934,0.496,0.145,0.159,0,0.104,0.286,0.186,0.036,0.56,176
Charlottesville,51540,Virginia,51,Non-Rural,0.076193113,3027,0.16932642,36701,0.923806887,0.897295305,6727,0.300543697,11940,0.45393677,18034,0.71,0.906,0.466,0.748,0.71,0.953,0.795,0.822,0.863,0.665,0.113,0.707,0.367,0.29,0.25,0.079,0.69,176
Campbell,51031,Virginia,51,Non-Rural,0.12549197,5548,0.326419362,38662,0.87450803,0.897295305,14431,0.329676544,14575,0.218412124,9656,0.798,0.83,0.66,0.886,0.708,0.881,0.845,0.706,0.707,0.239,0.16,0.11,0.201,0.26,0.102,0.033,0.53,307
Henrico,51087,Virginia,51,Non-Rural,0.088819098,22427,0.223107144,230075,0.911180902,0.897295305,56335,0.279732438,70633,0.40834132,103107,0.78,0.898,0.63,0.926,0.692,0.952,0.884,0.899,0.717,0.507,0.251,0.701,0.259,0.209,0.088,0.036,0.73,2547
King George,51099,Virginia,51,Rural,0.075579614,1480,0.289806966,18102,0.924420386,0.897295305,5675,0.306608109,6004,0.328005311,6423,0.806,0.836,0.668,0.84,0.812,0.937,0.906,0.932,0.923,0.372,0.256,0.623,0.41,0.133,0.07,0.01,0.58,164
Lancaster,51103,Virginia,51,Rural,0.099075297,900,0.302840159,8184,0.900924703,0.897295305,2751,0.290070454,2635,0.308014091,2798,0.66,0.832,0.5,,,0.945,0.791,0.849,0.943,0.379,0.122,0.419,0.585,0.247,0.092,0.037,0.56,44
Lee,51105,Virginia,51,Rural,0.220219195,4300,0.343388303,15226,0.779780805,0.897295305,6705,0.328843593,6421,0.107548909,2100,0.778,0.778,0.75,,0.91,0.774,0.731,0.534,0.603,0.119,0.002,0.534,0.054,0.345,0.261,0.087,0.56,110
Mathews,51115,Virginia,51,Non-Rural,0.094863242,711,0.324349566,6784,0.905136758,0.897295305,2431,0.318212141,2385,0.26257505,1968,0.77,0.784,0.638,,0.796666667,0.931,0.646,1,0.913,0.313,0,0.491,0.179,0.163,0.171,0.071,0.61,51
Middlesex,51119,Virginia,51,Rural,0.129176444,1156,0.331657168,7793,0.870823556,0.897295305,2968,0.336909152,3015,0.202257235,1810,0.768,0.8,0.668,,0.795,0.91,0.734,0.4,0.475,0.235,0.12,0.4,0,0.208,0.068,0.098,0.43,40
Prince George,51149,Virginia,51,Non-Rural,0.103169546,3076,0.346235117,26739,0.896830454,0.897295305,10323,0.3387892,10101,0.211806138,6315,0.816,0.85,0.75,0.975,0.814,0.919,0.885,0.832,0.907,0.241,0.217,0.494,0.219,0.142,0.076,0.013,0.71,277
Richmond County,51159,Virginia,51,Rural,0.188750676,1396,0.361005949,6000,0.811249324,0.897295305,2670,0.277988102,2056,0.172255273,1274,0.796,0.824,0.712,,0.85,0.859,0.741,0.6,0.562,0.229,0.101,0,0.061,0.149,0.148,0.135,0.63,59
Scott,51169,Virginia,51,Non-Rural,0.180053697,3219,0.383320282,14659,0.819946303,0.897295305,6853,0.306745721,5484,0.1298803,2322,0.85,0.854,0.85,,0.785,0.816,0.707,1,0.822,0.134,0,0.255,0.15,0.302,0.15,0.046,0.66,169
Spotsylvania,51177,Virginia,51,Non-Rural,0.093750941,9342,0.304023202,90305,0.906249059,0.897295305,30295,0.308408683,30732,0.293817175,29278,0.766,0.826,0.638,0.864,0.718,0.933,0.904,0.855,0.75,0.342,0.236,0.424,0.228,0.175,0.085,0.022,0.65,1107
Appomattox,51011,Virginia,51,Non-Rural,0.136602735,1688,0.341587764,10669,0.863397265,0.897295305,4221,0.324026867,4004,0.197782633,2444,0.818,0.864,0.694,,0.7425,0.888,0.758,0.5,0.676,0.23,0.123,0.5,0.168,0.16,0.127,0.032,0.44,74
Franklin County,51067,Virginia,51,Non-Rural,0.117735184,5344,0.350473673,40046,0.882264816,0.897295305,15908,0.32487332,14746,0.206917823,9392,0.804,0.83,0.652,0.98,0.764,0.884,0.852,0.932,0.864,0.232,0.111,0.425,0,0.264,0.159,0.03,0.61,300
King and Queen,51097,Virginia,51,Non-Rural,0.119781575,680,0.376959662,4997,0.880218425,0.897295305,2140,0.279725207,1588,0.223533556,1269,0.756,0.782,0.72,,0.75,0.925,0.791,0,0.721,0.239,0.249,0,0.269,0.194,0.146,0.057,0.68,19
Montgomery,51121,Virginia,51,Non-Rural,0.052714749,4370,0.208072474,78529,0.947285251,0.897295305,17249,0.391090363,32421,0.348122414,28859,0.81,0.82,0.648,0.934,0.708,0.932,0.914,0.982,0.878,0.429,0.422,0.827,0.517,0.28,0.127,0.059,0.76,529
New Kent,51127,Virginia,51,Non-Rural,0.083435012,1436,0.346232061,15775,0.916564988,0.897295305,5959,0.318517227,5482,0.251815699,4334,0.828,0.85,0.7,0.8325,0.772,0.952,0.795,1,0.854,0.288,0.176,0.429,0.078,0.156,0.074,0.001,0.6,122
Cumberland,51049,Virginia,51,Non-Rural,0.153484829,1209,0.397105497,6668,0.846515171,0.897295305,3128,0.307985274,2426,0.1414244,1114,0.724,0.762,0.674,,0.8225,0.853,0.8,0.875,0.857,0.149,0.144,0.402,0,0.37,0.13,0.001,0.5,53
Dickenson,51051,Virginia,51,Rural,0.212739068,2525,0.38503665,9344,0.787260932,0.897295305,4570,0.299435504,3554,0.102788777,1220,0.832,0.832,0.905,,,0.774,0.869,0,0.816,0.107,0,0,0.053,0.365,0.219,0.036,0.57,77
Halifax,51083,Virginia,51,Rural,0.182770664,5024,0.363431315,22464,0.817229336,0.897295305,9990,0.310826542,8544,0.142971478,3930,0.724,0.8,0.63,0.92,0.736,0.862,0.724,0.907,0.688,0.175,0.109,0.471,0.167,0.275,0.145,0.042,0.63,193
Loudoun,51107,Virginia,51,Non-Rural,0.068917183,19470,0.137724636,263043,0.931082817,0.897295305,38909,0.222538432,62870,0.57081975,161264,0.87,0.906,0.77,0.946,0.7,0.978,0.926,0.934,0.762,0.649,0.501,0.739,0.326,0.096,0.053,0.017,0.85,4726
Prince William,51153,Virginia,51,Non-Rural,0.117521724,39437,0.215402358,296135,0.882478276,0.897295305,72283,0.292998224,98322,0.374077694,125530,0.81,0.898,0.764,0.904,0.73,0.959,0.941,0.872,0.661,0.499,0.407,0.468,0.187,0.144,0.069,0.024,0.72,4374
Southampton,51175,Virginia,51,Rural,0.148019699,2134,0.30477908,12283,0.851980301,0.897295305,4394,0.371228411,5352,0.17597281,2537,0.83,0.902,0.724,,0.92,0.905,0.749,0.5,0.977,0.19,0.162,0.386,0.398,0.196,0.102,0.015,0.61,110
Highland,51091,Virginia,51,Rural,0.112024666,218,0.399280576,1728,0.887975334,0.897295305,777,0.271839671,529,0.216855087,422,0.852,0.852,,,,0.884,0,0,0,0.227,0,0,0,0.242,0.072,0.059,0.54,7
Caroline,51033,Virginia,51,Non-Rural,0.14294266,3343,0.379056741,20044,0.85705734,0.897295305,8865,0.29837089,6978,0.179629709,4201,0.74,0.796,0.64,0.79,0.716,0.896,0.774,0.53,0.873,0.226,0.115,0.503,0.331,0.201,0.071,0.022,0.45,118
Gloucester,51073,Virginia,51,Non-Rural,0.102246139,3059,0.325355973,26859,0.897753861,0.897295305,9734,0.357009158,10681,0.215388729,6444,0.822,0.834,0.722,0.9375,0.826,0.891,0.929,0.924,0.95,0.233,0.211,0.329,0.251,0.203,0.071,0.03,0.55,185
Patrick,51141,Virginia,51,Rural,0.189385131,2769,0.346761507,11852,0.810614869,0.897295305,5070,0.319061624,4665,0.144791738,2117,0.832,0.85,0.664,,0.734,0.806,0.762,0.855,0.675,0.155,0.099,0.491,0.114,0.22,0.089,0.061,0.66,107
Powhatan,51145,Virginia,51,Non-Rural,0.116425264,2741,0.306290617,20802,0.883574736,0.897295305,7211,0.307649832,7243,0.269634286,6348,0.8,0.822,0.572,0.84,0.754,0.922,0.721,0.74,0.789,0.311,0.117,0.438,0.346,0.247,0.064,0.011,0.66,227
Shenandoah,51171,Virginia,51,Rural,0.125572788,4275,0.387674774,29769,0.874427212,0.897295305,13198,0.295852426,10072,0.190900012,6499,0.72,0.744,0.618,0.9,0.618,0.889,0.909,0.717,0.561,0.209,0.236,0.246,0.111,0.148,0.123,0.044,0.45,191
Fauquier,51061,Virginia,51,Non-Rural,0.077530846,4141,0.279811275,49270,0.922469154,0.897295305,14945,0.304974631,16289,0.337683249,18036,0.786,0.826,0.6,0.88,0.686,0.95,0.847,0.945,0.702,0.381,0.219,0.642,0.23,0.131,0.07,0.036,0.71,640
Staunton,51790,Virginia,51,Rural,0.098777901,1956,0.303757196,17846,0.901222099,0.897295305,6015,0.284466216,5633,0.312998687,6198,0.714,0.76,0.528,0.8925,0.718,0.91,0.815,1,0.818,0.356,0.216,0.505,0.157,0.218,0.143,0.05,0.65,110
Fluvanna,51065,Virginia,51,Non-Rural,0.089877055,1908,0.255358236,19321,0.910122945,0.897295305,5421,0.338781855,7192,0.315982854,6708,0.8,0.838,0.636,,0.764,0.926,0.863,0.78,0.753,0.362,0.205,0.416,0.308,0.162,0.083,0.029,0.6,148
Radford,51750,Virginia,51,Non-Rural,0.051450604,814,0.221920233,15007,0.948549396,0.897295305,3511,0.460084698,7279,0.266544466,4217,0.84,0.88,0.668,,0.81,0.917,0.938,0.425,0.778,0.383,0.414,0.184,0.37,0.272,0.259,0.032,0.79,92
Winchester,51840,Virginia,51,Non-Rural,0.148658077,3196,0.267872924,18303,0.851341923,0.897295305,5759,0.269314852,5790,0.314154147,6754,0.744,0.836,0.622,0.906,0.672,0.91,0.825,0.931,0.439,0.399,0.149,0.665,0.152,0.237,0.153,0.051,0.58,163
Accomack,51001,Virginia,51,Rural,0.182887534,4711,0.383632905,21048,0.817112466,0.897295305,9882,0.25125199,6472,0.182227571,4694,0.746,0.848,0.63,0.9575,0.752,0.877,0.713,1,0.519,0.262,0.048,0.131,0.06,0.264,0.132,0.028,0.54,191
Craig,51045,Virginia,51,Non-Rural,0.083513839,347,0.424308063,3808,0.916486161,0.897295305,1763,0.271480144,1128,0.220697954,917,0.748,0.748,,,,0.908,0,0,0,0.237,0,0,0,0.266,0.088,0,0.56,28
Floyd,51063,Virginia,51,Rural,0.126859766,1603,0.370053814,11033,0.873140234,0.897295305,4676,0.298987021,3778,0.204099399,2579,0.784,0.8,0.495,0.9,0.668,0.883,0.681,1,0.643,0.228,0.236,1,0.053,0.289,0.091,0.033,0.59,89
Giles,51071,Virginia,51,Non-Rural,0.110935738,1476,0.385644495,11829,0.889064262,0.897295305,5131,0.333333333,4435,0.170086434,2263,0.806,0.808,0.79,,0.8425,0.889,0.926,1,0.808,0.182,0.213,0.727,0,0.192,0.109,0.005,0.57,107
Grayson,51077,Virginia,51,Rural,0.180282767,2359,0.375238823,10726,0.819717233,0.897295305,4910,0.313412304,4101,0.131066106,1715,0.79,0.81,0.6725,,0.725,0.826,0.749,0.927,0.38,0.143,0.048,0.655,0.015,0.29,0.15,0.164,0.64,65
Nottoway,51135,Virginia,51,Rural,0.195900322,2437,0.386575563,10003,0.804099678,0.897295305,4809,0.281270096,3499,0.136254019,1695,0.704,0.812,0.592,0.8,0.702,0.858,0.712,0.679,0.727,0.21,0.052,0.286,0.123,0.309,0.219,0.065,0.54,65
Rappahannock,51157,Virginia,51,Rural,0.127586207,777,0.281937603,5313,0.872413793,0.897295305,1717,0.262889984,1601,0.327586207,1995,0.812,0.844,0.5,,0.673333333,0.898,0.835,1,0.492,0.367,0.132,1,0.189,0.248,0.081,0.022,0.54,37
Charles City,51036,Virginia,51,Non-Rural,0.193825911,1149,0.386133603,4779,0.806174089,0.897295305,2289,0.2798583,1659,0.140182186,831,0.708,0.766,0.666,,,0.873,0.722,0.651,0.657,0.195,0.098,0.524,0.172,0.223,0.12,0.06,0.41,17
Culpeper,51047,Virginia,51,Rural,0.137077483,5272,0.330057202,33188,0.862922517,0.897295305,12694,0.297269891,11433,0.235595424,9061,0.776,0.828,0.648,0.94,0.726,0.888,0.794,0.936,0.7,0.29,0.124,0.248,0.201,0.192,0.086,0.033,0.54,298
Dinwiddie,51053,Virginia,51,Non-Rural,0.163450925,3702,0.358956245,18947,0.836549075,0.897295305,8130,0.307519096,6965,0.170073734,3852,0.766,0.816,0.684,,0.758,0.847,0.829,0.789,0.431,0.181,0.192,0.276,0.189,0.222,0.144,0.043,0.53,140
